,review,sent,sent_pred
,saya pesan via chat dengan customer servis yang juga layan dengan baik dan,1,1
,nungu resi lama bayar pakai jne yes kirim pakai pos   ,0,0
,terimakasih kak nalhamdulillah cantikk ncustomer q suka banget     ,1,1
,pesanan sudah smp dg baik meskipun melreati waktu yg tertera tks lazafa ,1,1
,membosankan            ,0,0
,barang yg dikirim tdk sesuai pesanan       ,0,0
,tuju pertama saya cari pisau set benar inspirasi dari salah satu coking show,0,0
,seller nya oke gk ada yg salah orderan nya pengemasan barang standard tp,1,1
,barang sesuai pesanan dan kondisi bagus       ,1,1
,spk xpander tidak bisa divalidasi ada apa ini membuat mitsubishi mengambil langkah meminta,0,0
,alhamdulillah sesuai dengan harapan         ,1,1
,barang bagus cuma packing hanya pakai bubble wrap semoga aja awet  ,1,1
,ada apa dengan flashdisk ini karena untuk menyimpan file selain video selalu menghilang,0,0
,as describes thanks          ,1,1
,repeat order pelayanannya selalu memuaskan        ,1,1
,barang bagus ori murah         ,1,1
,terima kasih penjual          ,1,1
,hubung habis upgrade iphone sering nemuin masalah waktu dengerin musik iring hilang port,1,0
,ada led tulis dan lambang corsair di pump header nya   ,1,0
,sharp air purifier fp fmy b buat kamar lebih nyaman udara bersih dan,1,1
,napa pesanan saya dibatalkan katanya alamat tdk ditemukan pdhal saya pelanggan setia lazada,0,0
,hanya kurang ramah saja dan akan lebih baik jika sebelum mengirim barang bisa,1,0
,ngambil pic ga ke pake semua       ,0,0
,ud langganan harga ya murah product import model ya lucu lucu pengiriman cepat,1,1
,kualitas ga bagus tidak bsa untuk poe router cma kedip aja yaa sesuai,0,0
,data korupt ketika di pindah ke flasdisk      ,0,0
,barang ok garansi resmi tidak cacat cm pengiriman lama bgt pesen dr tgl,0,0
,kenapa gambarnya kurang jernih ya apa smua yg beli ichiko sama  ,0,0
,bukalapak com mantap abes         ,1,1
,enak dan exp          ,1,1
,isinya gak cocok yang di tulisan nya gb jadi aku kasih bintang dlu,1,0
,saya pesan gb dtg gb        ,0,0
,windows lagnsung crash lalu saya coba pakai ubuntu bisa sebentar lalu crash waktu,0,0
,expirednya bulan depan          ,0,0
,ayo kita joging gabung dengan ribu orang bodoh lain mengangap udara di jakarta,0,0
,tidak bisa capai dasar galon karena akan pengaruh pada penyedotanya design bagus ,0,0
,awal y dek kan sekali d coba mantul gak pernah kecewa belanja d,1,0
,parah tiap saya tutup layar nya trus saya mau buka lagi layar malah,0,0
,sesuai dengan keterangan dan gambar        ,1,1
,suara maksimal masih terlalu kecil sudah dicharge lama tapi maksimal baterai tidak tahan,0,0
,barang cepat sampek nya trima ksih lazada      ,1,1
,mantap dpt harga murah krn belinya pas flash sale    ,1,1
,packing rapi dan aman kekurangannya klo play file film resolusi tdk bisa menyesuaikan,1,0
,parahh ternyata isi memory nya hanya mb lapak penipu tolong pihak lazada segera,0,0
,mantap bang thanks udah sampai nih barangnya      ,1,1
,barang yang dikirim tidak sesuai dengan yang dipesan     ,0,0
,alhamdulillah anak suka recommended bgt        ,1,1
,kirim agak lama          ,0,0
,official store tp buruk saya kecewa       ,0,0
,pendek            ,0,0
,barang nya ok ga ada masalah sama sekali     ,1,1
,jaketnya okee           ,1,1
,barng mantul dan real capacity        ,1,1
,mantap makasih ch shop n lazada       ,1,1
,di musim hujan seperti ini banyak sekali genang air maupun banjir yang harus,0,0
,hp rusak ga bs dipake sama sekali      ,0,0
,barang sampai dengan baik fast response       ,1,1
,asli mantap cari aman jangan beli yang abal terimakasiih puas   ,1,1
,pelayannya cepat seller nya jga baik makasih jga bonusnya gan   ,1,1
,tidak terlalu fungsi          ,0,0
,di lazada sudah tertulis diterima namun saya belum mendapat barangnya   ,0,0
,barang cepat sampai new model garansi thn semoga awet thanks lazada  ,1,1
,bagus nsuka n nresponyan bgus barang kosong lagsung d telpon tokonya untuk konfirmasi,1,1
,bagus tapi tdk tau pasang mahkota di bando     ,1,0
,alhmdllh ud sampai gamis gulali nya bun apikk poll    ,1,1
,seluruh ram ini beri performa yang tinggi walaupun tidak cara signifikan beri beda,0,0
,packing baik rekomendasi jual barang sesuai pesan baranga bagus terima kasih trader part,1,1
,kemarin pesan hari ini sampai komplit gd jobb seller lazada   ,1,1
,rasa enak enak seger anak suka       ,1,1
,jatuh dari sepeda biasa jatuh dari motor lumayan sakit jatuh dari mobil bego,0,0
,smntra produk aman hnya sj ntah seller kurir y yg lama smpai ,1,0
,nangkap sinyalnya kurang bagus padahal sudah pakai antena yg bagus yg di pakai,0,0
,respon cepat barang diterima dengan baik       ,1,1
,barang yang dikirim ukuran anak sekitaran tahun npadahal saya order untuk anak umur,0,0
,produk original dan kualitas         ,1,1
,berfungsi dengan baik produk tidak cacat sesuai dengan pesanan    ,1,1
,respon cepat packing rapi         ,1,1
,paketnya udh sampai mantapp dah mksih buat tokonya abang kurirnya sm toko pedia,1,1
,ya ampuunn dikasih bonus lucuk banget dongg asli seller nya baik baik pake,1,1
,alhamdulillah tv y dtg dg normal tp agk kecewa krn segel garansi coocaa,0,0
,baguss sepatu nya sesuai harga        ,1,1
,pengiriman cepat produk sesuai dan original packaging bagus respon cepat pokoknya bagus dan,1,1
,philips rice coker hd premium blue desa sangat modern namun tetap minimal dan,1,0
,sudah nyaman belanja di sini        ,1,1
,barang tidak masalah namun yang saya sesalkan adalah seller kurang informatif stock kurang,0,0
,bodoh banget           ,0,0
,barang berfungsi normal tetapi ada sedikit kendala pengiriman dan agak lama tapi ya,1,1
,kfc hot dan chesy itu enak tidak kalau ke kfc cuma pesan paha,0,0
,laptopnya bagus tanpa kendala sedikitpun        ,1,1
,secara kualitas dan harga sangat memuaskan hanya saja bracket wall yang dijanjikan tidak,0,0
,selalu suka           ,1,1
,to the point mending beli merk lain metk korea atau jepang yg sdh,0,0
,alhamdulillah barang sudah sampai dengan selamat sistem berfungsi dengan baik thanks lazada untuk,1,1
,respon cepat barang sesuai gambar pengiriman cepat      ,1,1
,kog gambar tetap kurang jernih sama saja kaya antena yang lain  ,0,0
,barangnya cepet sampai ok dah utk kwalitas brgnya     ,1,1
,j mahal ada bisa pinjam        ,0,0
,terlalu alot kayak kurang pelumas        ,0,0
,jangan beli flashdisk disini semuanya baru juga sehat udah gak bisa kebaca di,0,0
,harga namun akan lebih baik apabila lebih rapi     ,0,0
,bagus gan cuma buat kurang gede dikit di lengantp telah di perhati tidak,0,0
,respon y lama packing y kurang bagus      ,0,0
,karena pesanannya tidak langsung di kirim ke alamat saya pesanan tersebut saya mengambilnya,0,0
,ga bisa dipake          ,0,0
,harga mahal salah beli         ,0,0
,di coba bisa tpi hanya bisa lagu an dari ratusan lagu  ,0,0
,mantap semoga sukses selalu         ,1,1
,barang bagus dan sesuai dengan yang dipesan saya suka sekali datangnya pun tepat,1,1
,isinya dikit banget          ,0,0
,hari pertama pakai produk ini istri saya lapor mixer tiba tiba saja henti,0,0
,barang nyampe           ,0,0
,dongkol            ,0,0
,jomplang            ,0,0
,pengiriman super lama tapi datang juga sich      ,0,0
,terimakasih paket pesanan dekker untuk betis sdh diterima dg baik dan cepat tetapi,1,1
,terima kasih kak barang sudah sampai yah      ,1,1
,kurang cocok buat kulit kering tidak melembabkan      ,0,0
,pengiriman cepat barang bagus keren        ,1,1
,barang tidak bisa digunakan sebagaimana fungsinya       ,0,0
,produknya sangat memuaskan dan aman untuk bayi      ,1,1
,barangnya ok pengirimannya lama buanget capek nunggunya      ,0,1
,moga promo kaya begini lagi ya       ,1,1
,saya puas barangnya cepet sampai bagus yg bikin saya tidak puas datang g,0,0
,motif tidak sesuai nwalaupun random tapi produk yang difoto hanya biru dan hitam,0,0
,sip terima kasih penjual         ,0,1
,ntah saya lagi apes atau bukan tapi port usb yg saya terima ga,0,0
,enak tetapi lebih suka rasa asin       ,0,1
,barang cepat diterima packing rapih dan seller ramah     ,1,1
,barang sudah diterima dan sudah dipakai mantap      ,1,1
,kek laptopnya suka ngeleg padahal masih baru      ,0,0
,sangat kecewa barang yg dikirim rusak tidak bisa digunakan    ,0,0
,pesanan packing bagus harga murah seller recomended      ,1,1
,produk ini sangat berkualitas         ,1,1
,paking rapih dan respon lumyan cepat       ,1,1
,barang sudah sampai tapi belum di install windowsnya     ,0,0
,kemasannya ok sepertinya emang ori tapi kekurangannya kenapa kapasitas yg terbaca hanya gb,0,0
,brng bgs           ,1,1
,pengirumana lebih cepat          ,1,1
,mantap paket pakai peking kayu        ,1,1
,suka bangeett sama sepatunya         ,1,1
,gwe islam malu di mananya jadi beli kuda dan mobil milyaran itu oke,0,0
,pas ad to cart rb di invoice rb kecewa    ,0,0
,kualitas produk standar jahitanya kurang rapi banyak benang yang harus saya rapi sendiri,0,0
,suka mati sendiri kalau diangkat sedang klaim garansi dengan asus   ,0,1
,flash disknya tidak bisa di buat mengcopy dokumen di dalam folder karena foldernya,0,0
,order pcs yang dikirim cuma alhamdulillaah ada video unboxing jadi komplain bisa diterima,0,0
,produk yg saya terima tidak sesuai dgn spesifikasi     ,0,0
,beli paket kan harus tetapi ini malah kena harga    ,0,0
,gilaa baguss bangett          ,1,1
,pengiriman kelewat sehari tapi gpp yg penting barang berfungsi dengan baik  ,1,1
,barang diterima baik dan sesuai jadwal terima kasih     ,1,1
,packing sangat buruk packing hanya guna sieled air dan kardus tipis yang sudah,0,0
,barang ok tapi proses pengiriman agak lambat      ,0,0
,good product recommended seller         ,1,1
,mantap baru sekali ini beli laptop yang mobo sama procesor nya yang cuma,0,1
,seller ramah barang sesuai pesanan recomended       ,1,1
,dres dressnya lucu lucu harganya juga lebih murah dari toko toko lain pengemasannya,1,1
,itu flasdisk nya memorinya masih banyak tapi gak bisa masukin file  ,0,0
,very good definitely bakal order lagi yg lain     ,1,1
,sesuai dengan gambar dan pesanan wlpn agak lm     ,1,1
,ini tidak ada cuma hand sanitizer yg ready     ,0,0
,saya order dr tanggal sampe skrng statusnya masih sedang diproses sampe kapan saya,0,0
,saya tidak merekomendasikan sama sekali setelah saya coba ternyata tidak berfungsi tidak terbaca,0,0
,barang normal orignal gak kecewa poll pinhking rapi dan aaman   ,1,1
,sesuai pesanan mntab gan         ,1,1
,barang udh diterima dan berfungsi dengan baik      ,1,1
,lumayan untuk harga segitu mau pesan lagi harga sudah naik tunggu promo lagi,0,1
,kalau buat anak tahun nyata masih besar ya     ,0,0
,bagus ayukslah di beli barangnya juga original      ,1,1
,anginya kencang puas banget mudahan awet       ,1,1
,barang sudah sampe thanks lumayan bagus       ,0,1
,jelek saya saran jangan beli mending beli di mal jelas tahu barang nya,0,0
,sesuai desktipsi barang nya bagus        ,1,1
,packing tv nya safety dan brg sesuai deskripsi     ,1,1
,barang sesuai pesanan respon cepat pengiriman jg cepat     ,1,1
,usb kebaca di laptop tapi ngga kebaca di tv ini padahal jenis file,0,0
,responnya cepet bgt pengiriman cepet bgt barangnya oke bgtt top dahh  ,1,1
,pesen warna biru dikasih warna merah sudah saya install windows tp touchpad tidak,0,0
,hukum karma itu berjalan microsoft pernah sesumbar dan merayakan kematian iphone saat mereka,0,0
,barang baru smp real pic blm di cb smg ga ada mslh terima,1,1
,hdd rusak ga bs dipake lbh ditingkatkan lg quality controlnya sblm brg dikrm,0,0
,telah buat dual chanel begitu jadi panas ya itu ram apa tidak support,0,0
,speaker ga berfungsi kalo tlp atau di tlp ga kedengeran suara di tlp,0,0
,ini baru keluar paku hp nokia saya ganggu kenapa ya jangan tidur d,0,0
,saat datang kaget banget lihat baju nya baju nya kecil sekali dan pendek,0,0
,maaf telat           ,0,0
,ana beli ko tidak di anter malah ana cek ko malah lapor nya,0,0
,barang sudah mendarat harga murah        ,1,1
,barang sesuai pesanan dan datang lebih cepat dr perkiraan good job dipertahankan terus,1,1
,barang cukup bagus walaupun ternyata tidak sebesar di gambar diskripsinya   ,1,0
,celananya bgus baget adem pas dipake anak saya dengan bb kg next order,1,1
,amat sangat mengecewakan saya batalkan pembelian dikarenakan salah kirim dan juga diminta menunggu,0,0
,ntap barang nympe dg selamat dan cpt recommended     ,1,1
,kapasitas cuma giga tidak sesuai dengan gambar yang giga    ,0,0
,tisu kecil banget harga nya mahal       ,0,0
,cuma harga itu yang tidak tahan kalau cuma ngejar puas tidak ada habis,0,0
,manfaat tambah ram tidak akan lihat jika tidak benchmark dengan aplikasi tentu ,0,0
,respon sangat cepat gak salah lah beli di sini    ,1,1
,fast response barang cepat sampe semoga awet aamiin     ,1,1
,barang murah dengan bonus yg keren thanks lazada     ,1,1
,terima kasih seller dan lazada barang sdh diterima dan di test berjalan dgn,1,1
,baguuss banget           ,1,1
,thank youu ntar paketnya diliat smoga aman semua ya heheheheheheh   ,1,1
,barang ok sesuai pesanan respon mantaff trimakasih      ,1,1
,makasih bosque atas tanggung jawab nya dana komplain udah kembali nex order lagi,1,1
,seneng banget belanja disini packing sama expedisi cepet buanget kmrn ordee besoknya sampai,1,1
,barang sesuai deskripsi packing rapih fast response recommended seller    ,1,1
,produk tidak sesuai dengan gambar yang diterima lcd maupun menu berbeda  ,0,0
,kualitas produk kapasitornya terbakar biji pelayanan pengiriman      ,0,0
,ini ko patah ya sampe brgnya       ,0,0
,ga dapet kabelnya masa cuma case doank hiks     ,0,0
,nokia tidak tarik lagi produksi kamera vr ozo     ,0,0
,produknya mantap bekerja dengan baik recommended       ,1,1
,tidak ada asap tetapi benar tidak wangi yaatau salah pasang   ,0,0
,pengiriman sangat baik produk sangat baik       ,1,1
,paket sudah tiba dan sesuai gambar tapi anakku kegedean tp oke lah ,1,1
,barang bagus berkualitas cuma kurirnya aja yg lelet mengecawakan ninja express tp gak,0,1
,persewan bus di sidoarjo         ,1,0
,barang saya masih belum sampai saya order tgl juni tgl penerimaan juni sampai,0,0
,kak knp ya kalau di isi video malah rusak ini flashdisk khusus lagu,0,0
,oke bgt recommended lah packing rapi responsif pasti beli lg   ,1,1
,makasih ya kak          ,1,1
,beda sama nokia yg beli di counter hp kwalitas beda jauh  ,0,0
,untuk cas jam daya tahan jam lebih anti aer saya sering keringetan boleh,0,0
,ngawur            ,0,0
,terima kasih untuk jual baik        ,1,1
,aroma rasa tetapi rasa agak kurang lumayan buat mil mil biasa  ,0,0
,bahan adeemm ukuran sesuai describtion trimakasiih seller      ,1,1
,file music mp ndak bisa kebaca dan diputar diplayer mobil   ,0,0
,pengiriman cepat kualitas sesuai harga ukuran agak kegedean tetapi oke   ,0,1
,mantap dehh pokoknyaa main gta di laptop jdi lebih mudah   ,1,1
,kurang memuaskan suaranya sih kiri dan kanan tapi sistem yg fungsi sebelah kiri,0,0
,nyampenya cepet banget pdhl kemaren malem baru checkout uf uf   ,1,1
,rasa kurang enak agak keras kalau dingin      ,0,0
,kemarin sya chat kata nya aman kalau jawabnya dr chat ga pakai packaging,0,0
,kemudian saya tes suara pertama tama colok ke music player portable sayang puter,0,0
,pengiriman cepat kesan awal produk lumayan bagus mudahan beneran nyaman dipake terimakasih seller,1,1
,sudah diterima cepat dan sesuai        ,1,1
,kreenn tv nya dh smpe ssuai tnggal msen minggu smpe slsa sore puas,1,1
,barang diterima dalam keadaan baik pengiriman cepat semoga barang lancar dan awet thx,1,1
,tulisanya figet spiner gratis cube e malah yang antar hangs figet cubes saja,0,0
,udah kesekian kali beli di sini selalu puas barangmya bagus bagus pengiriman juga,1,1
,product telah diterima sesuai spesifikasi packing ok pengiriman ok thx seller thx toped,1,1
,udah bagus lahh yaa hehehe        ,1,1
,barang sesuai original pengiriman meleset sehari       ,1,1
,kenapa barang saya belum juga datang bilang tanggal barang sudah sampai saya pese,0,0
,sangat jelek isi tdak sesuai memang d properti nampak tb tp d masukin,0,0
,ada part yang kurang pas di bagi baut masa harus buat lubang sendiri,0,0
,baru pesen kemaren lusa udah sampe siang hari ini packaging bagus pake bubble,1,1
,ngak nyambung di hp saya        ,0,0
,sy beli knp isinya tolong dong kurang      ,0,0
,paket dah sampai gan makasi ya       ,1,1
,udah langganan di toko ini pelayanannya gercep slalu tanggap puas deh  ,1,1
,keren respon cepat kirim cepat mantap       ,1,1
,pelayanan cepat sesuai diskripsi         ,1,1
,barang bagus masih awet sampai sekarang       ,1,1
,cuma kurang halus saja kain nya       ,0,0
,pengiriman cepat packing rapih semoga awet hardisk nya terima kasih   ,1,1
,gk bsa di pke rugi beli       ,0,0
,barangnya udah connect tapi ga keluar suara      ,0,0
,kapan kapan promo lagi ya        ,1,1
,flashdisknya gak bs dipake foto yg udh di krm gak bs dibuka ,0,0
,alhmdllh brng udh nyampe cantik bajunya ntrmksh kk seller ntrmksh abng kurir yg,1,1
,mobil jazz bakar sebrang mal sumarecon serpong      ,0,0
,secara produk ga ada masalah tp pelayan toko tidak profesional   ,0,0
,padahal barang tidak tumpah tetapi pas lihat isi sudah kurang rapat saja kecewa,0,0
,minta kuning di kasih gold tak ada omongan pula    ,0,0
,barangnya udh nyampe cepat bngt packing nya jg rapih tp pas dicoba flashdisk,0,1
,sesuai pas oke good rekom cepat packing bagus     ,1,1
,barang rekondisi tidak dicantumkan pada deskripsi       ,0,0
,payah saya pesan dari senin hingga jumat siang status masih saja sedang di,0,0
,barang lama sampai dari tanggal pengiriman dan packaging yang tidak rapi  ,0,0
,gak jelas belanja disini kecewa ngak sesuai produk     ,0,0
,alhamdulillah akhirnya yang ditunggu tunggu dateng vestnya bagus banget dong mo nangiss bahannya,1,1
,sulit            ,0,0
,untuk procesor intel mungkin akan lebih panas lagi     ,0,0
,pesan sampai ukuran m dan l gmbr little poni biru muda yg sampai,0,0
,mantull nalhmdllh puas bgt belnja d sni akan jadi langganan aku mna baik,1,1
,alhamdulillah puas bgt sesuai pesanan        ,1,1
,pelayanan oke respon cepat         ,1,1
,barang landing dengan selamat delivery from lazada ramah bgt seller ok produk ok,1,1
,terlalu manis lebih enak teh pucuk       ,0,0
,gak bisa di pake barang rusak kok di jual    ,0,0
,flashdisk nya ori saya senang belanja di sini recommended    ,1,1
,barang jelek sekali harus nya gb baru di isi sekitar gb mulai jadi,0,0
,walaupun harga murah tapi kualitas bagus       ,1,1
,fast response barang sudah diterima        ,1,1
,barangnya sampai dengan packingan rapi tepat waktu dan sesuai dengan yg tertera ,1,1
,barang sudah diterima semoga awet nantinya       ,1,1
,terimaa kasiihh           ,1,1
,namun telah dapat info soal air purifier kena kerja bersih udara yang penting,0,0
,saya amat sering beli produk di lazada namun kali ini sy kecewa pembatalan,0,0
,barang sesuai deskripsi original overall good sangat memuaskan     ,1,1
,sudah minggu blm terima barangny terus transfer dengn jumlah uang pembayaran pcs tp,1,0
,pengirimany cepat dan rapi         ,1,1
,barang sesuai bagus n pngiriman cept terima ksih     ,1,1
,ada pernah beli gadget di renanstore tidak trusted kah    ,0,0
,respon cepat brg cepat sampai sip       ,1,1
,kecewa sekali barang baru diterima udah remuk      ,0,0
,iya sudah dterima tetapi dbagian ketiak tidak nyaman     ,0,0
,good product and fast response tunggu next order thx u   ,1,1
,produknya bagus pengiriman sesuai pesanan tidak mengecewakan      ,0,1
,kecepatan pengiriman sangat baik harga murah terjangkau produk original    ,1,1
,barang sesuai harapan          ,1,1
,memory rusak tidak terbaca tolong lazada bagaimana kebijakannya     ,0,0
,pesen dr tgl tgl baru smpe kecewa lama bgt pengiriman ny blm d,0,0
,so far so good pengirimannya juga cepat saking cepatnya saya ga sadar udah,1,1
,pesanan diterima dengan baik dan selamat tv bisa dinyalakan selama hari normal saja,0,1
,kirain yang ada pompa nya tidak tahu nya botol refil doang  ,0,0
,bahannya tipis bgt          ,0,0
,sempat kecewa pas beli ini sudah pilih pengirimian cod tetapi ditelfon sama yang,0,0
,barang datang dengan cepat aman dan gak ada cacatnya    ,1,1
,ikutan car gratis day tidak jajanan apa kamu beli yaelah besok sudah uts,0,0
,tampilan layar buram gan jauh beda dengan yang original    ,0,0
,barang sudah diterima dengan baik sesuai pesanan original lagi terima kasih  ,1,1
,sampenya lamretaa           ,0,1
,gak bisa dibuka          ,0,0
,bahanya bagus wrnanya cantik tetapi kirim saja yang lama    ,0,1
,paket sampai barang ok tapi kurir tidak ramah dan berbicara ditelfon tdk baik,0,0
,baju nya bagus puass mksh sukses trs      ,1,1
,fast respond thaks good         ,1,1
,oke sudah terima terima kasih        ,1,1
,data yg saya simpan hilang sekalinya ada ga bisa di buka yang bagus,0,0
,ukurannya pas bgt dan prosesnya cepat mantap      ,1,1
,barang sdh diterima sdh dipasang bagus moga awet ga ada kendala thx ya,1,1
,liat bagus bgt dongg aku sengaja beli karna keracunan junkyu pake vest ini,1,1
,barang bgs dan sesuai pesanan trm ksh      ,1,1
,biasa selasa juga sudah datang ko ini belum ada juga   ,0,1
,makasi sdh diterima seperti biasanya selalu cepat sampai bahannya baguss bangett  ,1,1
,penjual krg peduli dan brg jelek brg yg dikirim peyot dan pegangannya pecah,0,0
,flasdisk alhamdulillah original makasih banyak        ,1,1
,barang top markotop gan langsung cekgur di pake nya terimakasih gan  ,1,1
,buah nanas buah semangka disana panas disini hujan apa lagi yg mw dikomen,1,0
,barang bagus sayang ada yang ga kejait bagian pantatnya gpp bs dijahit sendiri,1,1
,mantep jernih dan sinyal kuat        ,1,1
,bahan dekker kurang bagus         ,0,0
,bagus tapi panas wajar metal        ,1,0
,barang ternyata jelek penyok gx memuaskan       ,0,0
,barang sudah sampai peking aman rapi sesuai diharapkan semoga awet as komputer selalu,1,1
,yaa lumayanlah sesuai harga untuk pengiriman sangat cepat terumakasih    ,1,1
,barang a mantap          ,1,1
,ya saya puas tetapi pengirmanya sangat kecewa kurir tanpa ada komunikasi dengan saya,0,0
,tidak ada atur volume nya        ,0,0
,suka banget pengiriman puncepat sering promo saja      ,1,1
,bahannya bagus mau order lg motif lain      ,1,1
,bahan dan warna bagus         ,1,1
,paket sudah saya terima tapi cukup sampai saya saja yang jadi korban nih,0,0
,barang sudah sampai proses paketnya bagus tapi yang disayangkan kok hanya gb saja,0,0
,kecepatan baca data lumayan cepat bagus       ,1,1
,agak kecewa permen kunyit asemnya sudah expired oktober tolong lebih perhati lagi ,0,0
,dijudulnya ditulisnya nama produknya laser x yg dateng ga ada tulisan laser x,0,0
,celana biasa saja bahan tipis dan ringan begitu sesuai harga terima kasih kamu,0,0
,barang ada yang rusak bekas dilem       ,0,0
,asli sebagus itu suka banget lagi dan nyampenya cepet banget cuma sehari ,1,1
,dtg cepat hardisk lancar         ,1,1
,banyak yang ga lengket produk kurang bagus      ,0,0
,sudah sampai puas belanja di jdid       ,1,1
,tengkyuu barangnya bagus dab murah bangett makasihh yaa meluncur dengan selamaat yuhuu ,1,1
,wifi bluetoth dan hotspot selalu dalam ada of dan tidak bisa di on,0,0
,barang bagus sesuai pesanan respon cepat       ,1,1
,laptopnya sudah saya terima tadi siang overall saya sangat senang dan kurirnya ramah,1,1
,barang palsu gan isi dalam cuma rangkai lampu led gda itu nama gelombang,0,0
,terimakasih pesanan cepat sampai barang oke jg      ,1,1
,pertama disambungin pke kbel otg ga nyambung ke hp ternyata fd nya hrus,1,0
,flash disk terlalu kecil bisa dipakai otg tidak bisa dipakai gmn cara mengembalikan,0,0
,barang sesuai gambar bagus dan berfungsi normal hanya saja tidak bisa digunakan utk,0,1
,bagus sesuai dengan yang diharapkan        ,1,1
,wkwkwk siip dah barang nya walaupun nyokap marah marah    ,1,1
,barang sampai packing rapi mantul pokok nya      ,1,1
,selalu puas belanja disini barang bagus harga sesuai pengiriman cepat penjual ramah ,1,1
,bahannya bagus jg lembut agak tebel lupa tulis ukuran cm untung pas di,1,1
,pesan warna dark grey datang malah warna navy     ,0,0
,lalu untuk konek ke pc yang pakai usb bluetoth adapter itu minta pascode,0,0
,prouduk bagus tetapi pesan wrna tosca datang nya wrna navy   ,0,0
,flashdisk bajakan ya isi aslinya gb bukan gb walaupun tertra di pc gb,0,0
,barang belum kirim          ,0,0
,saya order warna biru yang dikirim kok warna hitam tapi ya wis lah,0,0
,akhìrrnya dateng jugaa bajunya ga sabar nunggunyaa baguss bangett apalagi warna mintnyaa gemes,1,1
,sesuai deskripsi dan tepat waktu        ,1,1
,produk oke dan sesuai kirim on time      ,1,1
,tetapi samsung cepat lag         ,0,0
,koq saya terima otg nya cm pcs yah katanya pcs gimana sih ,0,0
